KG-NR;GST-NR;G;BA;NU;TIND;IND;FLAECHE;EMZ;GFN;GFT;KG-EZ;EZ #01.04.2023#
"42018";".213/4";"";1;"01";"";"";49;;"10288/2012/42";"GFT20";"42018";18
"42018";".214/1";"";1;"01";"";"*";116;;"10288/2012/42";"GFT20";"42018";23
"42018";".214/2";"";1;"01";"";"";54;;"10288/2012/42";"GFT20";"42018";23
"42018";".215";"";1;"01";"";"*";166;;"10288/2012/42";"GFT20";"42018";23
"42018";".216/1";"";1;"01";"";"*";27;;"10288/2012/42";"GFT20";"42018";29
"42018";".216/2";"G";1;"01";"T";"*";32;;"10288/2012/42";"GFT20";"42018";26
"42018";".216/2";"G";1;"02";"T";"*";37;;"10288/2012/42";"GFT20";"42018";26
"42018";".217";"";1;"01";"";"";147;;"10288/2012/42";"GFT20";"42018";26
"42018";".218";"";1;"01";"";"*";44;;"10288/2012/42";"GFT20";"42018";35
"42018";".221";"";1;"01";"";"*";146;;"10288/2012/42";"GFT20";"42018";35
"42018";".223";"";1;"01";"";"*";86;;"10288/2012/42";"GFT20";"42018";34
"42018";".224";"";1;"01";"";"*";77;;"10288/2012/42";"GFT20";"42018";551
"42018";".225/2";"G";3;"01";"";"*";390;;"493/2022/42";"GFT20";"42018";44
"42018";".229";"";1;"01";"";"*";148;;"285/2014/42";"GFT20";"42018";101
"42018";".230/1";"G";1;"01";"";"*";235;;"10288/2012/42";"GFT20";"42018";125
"42018";".230/2";"";1;"01";"";"*";81;;"10288/2012/42";"GFT20";"42018";142
"42018";".230/3";"";1;"01";"";"*";30;;"10288/2012/42";"GFT20";"42018";142
"42018";".231";"";1;"01";"";"*";101;;"10288/2012/42";"GFT20";"42018";98
"42018";".232/1";"";1;"01";"";"";94;;"10288/2012/42";"GFT20";"42018";98
"42018";".232/3";"";1;"01";"";"*";30;;"10288/2012/42";"GFT20";"42018";18
"42018";".233/1";"";1;"01";"";"*";95;;"10288/2012/42";"GFT20";"42018";87
"42018";".234";"";1;"01";"";"";71;;"385/2014/42";"GFT9";"42018";87
"42018";".235/2";"";1;"01";"";"";86;;"10288/2012/42";"GFT20";"42018";134
"42018";".235/3";"";1;"01";"";"*";52;;"10288/2012/42";"GFT20";"42018";136
